Index,Label
1,0
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,0
97,0
98,0
99,1
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,0
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,0
155,0
156,1
157,1
158,0
159,1
160,1
161,0
162,0
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,0
174,1
175,1
176,0
177,0
178,1
179,0
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,0
219,1
220,1
221,0
222,0
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,0
242,1
243,0
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,1
269,0
270,0
271,0
272,0
273,1
274,1
275,0
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,1
311,1
312,1
313,1
314,1
315,0
316,0
317,1
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,1
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,1
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,1
355,1
356,0
357,0
358,0
359,1
360,0
361,1
362,0
363,0
364,1
365,0
366,0
367,1
368,1
369,0
370,0
371,0
372,1
373,0
374,0
375,0
376,0
377,1
378,0
379,1
380,0
381,0
382,0
383,0
384,1
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,1
394,1
395,1
396,0
397,0
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,0
407,0
408,1
409,0
410,0
411,1
412,1
413,0
414,1
415,0
416,0
417,0
418,0
419,1
